##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)","doi id(s)"
1,Calcarisporiella thermophila CBS 279.70,Calth1,911321,28155144,11754,Y,N,N,,,,
2,Corynascus sepedonium ATCC9787,Corse1,190048,33300067,10644,Y,N,N,,,,
3,Acremonium thermophilum ATCC 24622,Acrth1,223376,28886936,10424,Y,N,N,,,,
4,Aureobasidium pullulans ATCC 62921,Aurpu1,5580,28038881,11167,Y,N,N,,,,
5,Chaetomium olivicolor CBS 102434,Chaol1,1485946,33947608,11709,Y,N,N,,,,
6,Thermomyces dupontii NRRL 2155,Talth1,28565,19833760,7560,Y,N,N,,,,
7,Rasamsonia byssochlamydoides NRRL 3658,Rasby1,89139,29320293,9937,Y,N,N,,,,
8,Rasamsonia emersonii NRRL 3221,Talem1,68825,28732671,10481,Y,N,N,,,,
9,Rhizomucor pusillus CBS 18367,Rhipu1,4840,25384556,10988,Y,N,N,,,,
10,Thermoascus crustaceus CBS 18167,Thecr1,5088,31412805,10453,Y,N,N,,,,
11,Thermoascus thermophilus ATCC 26413,Theth1,1131473,24769245,6884,Y,N,N,,,,
12,Trametes versicolor ATCC 20869,Traver1,5325,43665725,15606,Y,N,N,,,,
13,Malbranchea cinnamomea CBS 34355,Malci1,5041,24330608,9074,Y,N,N,,,,
14,Thermomyces stellatus CBS 21464,Theste1,2075419,29549615,10386,Y,N,N,,,,
15,Oculimacula yallundae CBS 49480,Ocuya1,86028,48660894,16587,Y,N,N,,,,
16,Thermomyces lanuginosus ATCC 200065,Thela1,5541,19918373,8129,Y,N,N,,,,
17,Thermothelomyces fergusii CBS 405.69,Thefe1,2588716,29057542,8837,Y,N,N,,,,
18,Thermocarpiscus australiensis ATCC 28236,Thiau1,113626,28862251,10296,Y,N,N,,,,
19,Thermothelomyces hinnuleus ATCC 52474,Thehi1,225406,29261746,7392,Y,N,N,,,,
20,Humicola hyalothermophila CBS 45480,Humhy1,1486343,27586382,9529,Y,N,N,,,,
21,Mycothermus thermophilus CBS 62091,Mycth1,85995,26958892,7749,Y,N,N,,,,
22,Remersonia thermophila ATCC 22073,Remth1,72144,27414229,7598,Y,N,N,,,,
23,Thermothelomyces myriococcoides CBS 39893,Themy1,2588717,31687234,8744,Y,N,N,,,,
24,Hypomyces rosellus CCMJ2808,Hypros1,5132,38475127,11067,Y,Y,N,,Xu R et al. 2020,32245129,
25,Hypomyces perniciosus HP10,Hypper1,2060699,44006492,11447,Y,Y,N,,Li D et al. 2019,31146507,
26,Linnemannia zychae PUST F9C,MozyPUSTF9C_1,979765,44794830,11182,Y,Y,N,,Vandepol N et al. 2020,33364917,
27,Mortierella hygrophila NRRL 2591,MohyN2591_1,979708,46054087,12256,Y,Y,N,,Vandepol N et al. 2020,33364917,
28,Gryganskiella cystojenkinii 1230,Mocy1230_1,979690,42943035,12079,Y,Y,N,,Vandepol N et al. 2020,33364917,
29,Mortierella alpina AD072,MoalAD072_1,64518,37282625,10869,Y,Y,N,,Vandepol N et al. 2020,33364917,
30,Mortierella sp. 14UC,Mosp14UC_1,1896178,45164476,11889,Y,Y,N,,Vandepol N et al. 2020,33364917,
31,Linnemannia camargensis NRRL 2610,MocaN2610_1,1897643,44900159,11813,Y,Y,N,,Vandepol N et al. 2020,33364917,
32,Mortierella polycephala KOD 948,MopoKOD948_1,41804,32627605,10186,Y,Y,N,,Vandepol N et al. 2020,33364917,
33,Mortierella alpina NRRL 66262,MoalN66262_1,64518,37714408,10498,Y,Y,N,,Vandepol N et al. 2020,33364917,
34,Mortierella antarctica KOD 1229,MoanKOD1229_1,979670,35455509,10312,Y,Y,N,,Vandepol N et al. 2020,33364917,
35,Haplosporangium sp. NRRL A-10996,HapNA10996_1,1897647,33513860,9755,Y,Y,N,,Vandepol N et al. 2020,33364917,
36,Mortierella alpina AD071,MoalAD071_1,64518,35060002,10658,Y,Y,N,,Vandepol N et al. 2020,33364917,
37,Mortierella alpina GBA31,MoalGBA31_1,64518,37238513,11090,Y,Y,N,,Vandepol N et al. 2020,33364917,
38,Mortierella sp. NVP41,MospNVP41_1,1896192,45063994,12544,Y,Y,N,,Vandepol N et al. 2020,33364917,
39,Podila clonocystis KOD 947,MoclKOD947_1,979688,39506643,11718,Y,Y,N,,Vandepol N et al. 2020,33364917,
40,Podila humilis KOD 1050,MohuKOD1050_1,64523,29168965,8465,Y,Y,N,,Vandepol N et al. 2020,33364917,
41,Mortierella sp. GBA30,MospGBA30_1,1896187,36978069,10471,Y,Y,N,,Vandepol N et al. 2020,33364917,
42,Mortierella sp. AD094,MospAD094_1,1896185,43843750,12995,Y,Y,N,,Vandepol N et al. 2020,33364917,
43,Actinomortierella ambigua BC1291,MoamBC1291_1,1343610,37574674,9860,Y,Y,N,,Vandepol N et al. 2020,33364917,
