Species	TotalProteins	polyQ10_count	polyQ10_freq
Rambr1	9275	558	0.0602
Lodelo1	5746	283	0.0493
Mucrac1	11267	537	0.0477
Canbo1	6230	237	0.0380
Spoin1	9496	300	0.0316
Absrep1	14917	449	0.0301
Mycind1	10509	298	0.0284
Candu1	5860	163	0.0278
Canpa1	5810	160	0.0275
Halrad1	10175	272	0.0267
Canar1	5861	150	0.0256
Parpar1	12306	299	0.0243
Acain1	8025	194	0.0242
Ellano2	12251	289	0.0236
Hanos1	4657	108	0.0232
Pilano1	12816	289	0.0225
Muccirc1	12227	269	0.0220
Morwol1	10037	219	0.0218
Psefl1	6877	149	0.0217
Mycafr1	10917	232	0.0213
Lobtra1	11822	250	0.0211
Synrac1	11124	232	0.0209
Enthel1	10117	209	0.0207
Zycmex1	14004	290	0.0207
Pacta1	5675	117	0.0206
Dicrob1	12069	246	0.0204
Mucfus1	12309	249	0.0202
Mucam1	11343	227	0.0200
Chathe1	7165	142	0.0198
Coeasi1	7404	146	0.0197
Muclan1	10643	205	0.0193
Mormul1	12248	234	0.0191
Gonbut1	11002	203	0.0185
Cornip1	9820	181	0.0184
Ambph1	6975	127	0.0182
Chabre1	11585	211	0.0182
Moramb1	10758	196	0.0182
Cokrec1	10916	194	0.0178
Morsel1	13461	239	0.0178
Spoth2	9110	161	0.0177
Cantro1	6134	107	0.0174
Chlpad1	13494	235	0.0174
Tilco1	9860	172	0.0174
Brefa1	7554	131	0.0173
Canalb1	6020	104	0.0173
Mucend1	11445	196	0.0171
Tilcar1	10204	173	0.0170
Morel2	14968	250	0.0167
Spobr1	9067	151	0.0167
Escweb1	6754	112	0.0166
Nauda1	5548	92	0.0166
Rhich1	17125	282	0.0165
Disorn1	12582	204	0.0162
Kluma1	4941	80	0.0162
Canor1	5678	91	0.0160
Dicele1	12396	197	0.0159
Gilper1	10992	174	0.0158
Myxme1	6299	99	0.0157
Thaele1	13104	203	0.0155
Pickud1	5140	79	0.0154
Petxy1	5982	90	0.0150
Neucr2	10785	161	0.0149
Helpul1	12793	185	0.0145
Neudi1	9948	144	0.0145
Thipu1	5296	77	0.0145
Cirumb1	14692	207	0.0141
Ophun1	8577	119	0.0139
Mucmuc1	14052	194	0.0138
Tilwal1	7970	108	0.0136
Caupr1	6168	83	0.0135
Sposc1	10277	136	0.0132
Disdec1	11886	156	0.0131
Saceu1	5370	70	0.0130
Sodal1	9411	122	0.0130
Spapa3	5983	78	0.0130
Ascap1	6442	83	0.0129
Liccor1	13404	173	0.0129
Muccir1	11842	148	0.0125
Rhimi	11352	140	0.0123
Cunech1	10443	126	0.0121
Kircor1	16793	203	0.0121
Neute	10380	124	0.0119
Blatri	10671	126	0.0118
Sacca1	6736	76	0.0113
Triin1	8282	94	0.0113
Ustma2	6785	77	0.0113
Blatri	11119	124	0.0112
Grocl1	8312	93	0.0112
Spore1	6648	74	0.0111
Usthor1	7110	79	0.0111
CoeBC34962	6547	72	0.0110
Licra1	11542	127	0.0110
Tescy1	7069	78	0.0110
Sacarb1	5309	58	0.0109
Ophnu1	8639	93	0.0108
Tilin1	9548	103	0.0108
Trime1	7860	85	0.0108
Benpoi1	11659	125	0.0107
Uroocc1	6708	72	0.0107
Hethyg1	7158	76	0.0106
Phaart1	14494	153	0.0106
Psean1	6640	70	0.0105
Erecy1	4434	46	0.0104
