Protein	PolyQlength
IF2SGB1|IF2SGB1_000210-T1	14
IF2SGB1|IF2SGB1_000356-T1	11
IF2SGB1|IF2SGB1_000551-T1	12
IF2SGB1|IF2SGB1_001126-T1	13
IF2SGB1|IF2SGB1_001204-T1	11
IF2SGB1|IF2SGB1_001247-T1	20
IF2SGB1|IF2SGB1_001569-T1	11
IF2SGB1|IF2SGB1_002329-T1	12
IF2SGB1|IF2SGB1_002394-T1	10
IF2SGB1|IF2SGB1_002560-T1	15
IF2SGB1|IF2SGB1_002580-T1	11
IF2SGB1|IF2SGB1_002838-T1	20
IF2SGB1|IF2SGB1_002894-T1	10
IF2SGB1|IF2SGB1_002921-T1	13
IF2SGB1|IF2SGB1_002943-T1	12
IF2SGB1|IF2SGB1_003170-T1	19
IF2SGB1|IF2SGB1_003408-T1	19
IF2SGB1|IF2SGB1_003840-T1	10
IF2SGB1|IF2SGB1_003931-T1	11
IF2SGB1|IF2SGB1_004247-T1	15
IF2SGB1|IF2SGB1_004451-T1	11
IF2SGB1|IF2SGB1_004610-T1	16
IF2SGB1|IF2SGB1_004640-T1	10
IF2SGB1|IF2SGB1_004685-T1	12
IF2SGB1|IF2SGB1_004719-T1	12
IF2SGB1|IF2SGB1_004996-T1	10
IF2SGB1|IF2SGB1_005086-T1	15
IF2SGB1|IF2SGB1_005421-T1	15
IF2SGB1|IF2SGB1_005697-T1	10
IF2SGB1|IF2SGB1_005836-T1	16
IF2SGB1|IF2SGB1_005922-T1	10
IF2SGB1|IF2SGB1_006065-T1	12
IF2SGB1|IF2SGB1_006080-T1	10
IF2SGB1|IF2SGB1_006191-T1	12
IF2SGB1|IF2SGB1_006278-T1	13
IF2SGB1|IF2SGB1_006405-T1	10
IF2SGB1|IF2SGB1_006524-T1	10
IF2SGB1|IF2SGB1_006558-T1	10
IF2SGB1|IF2SGB1_007048-T1	12
IF2SGB1|IF2SGB1_007186-T1	12
IF2SGB1|IF2SGB1_007328-T1	11
