Species	TotalProteins	polyQ10_count	polyQ10_freq
Rhodotorula_mucilaginosa_TFCN_130D-4	6753	41	0.0061
Rhodotorula_mucilaginosa_IIF8SW-B3	7354	42	0.0057
Rhodotorula_paludigena_TFCN_48A-3	7405	28	0.0038
Rhodotorula_alborubescens_TFCN_25-395P-1	6823	43	0.0063
Rhodotorula_graminis_NRRL_Y-2474	7159	32	0.0045
Rhodotorula_sphaerocarpa_TFCN_86A-12	6634	38	0.0057
Rhodotorula_dairenensis_DBVPG_3771	6483	39	0.0060
Rhodotorula_graminis_TFCN_17-328P-3	7556	37	0.0049
Rhodotorula_mucilaginosa_TFCN_17-332M-2	7388	38	0.0051
Rhodotorula_toruloides_TFCN_152C-5	6908	40	0.0058
Rhodotorula_paludigenum_TFCN_48A-10	7466	26	0.0035
Rhodotorula_mucilaginosa_F8_6S_2B	7249	43	0.0059
Rhodotorula_mucilaginosa_DBVPG_4945	6914	40	0.0058
Rhodotorula_mucilaginosa_DBVPG_4203	7224	42	0.0058
Rhodotorula_mucilaginosa_TFCN_186DK3-2	1825	2	0.0011
Rhodotorula_mucilaginosa_TFCN_17-332D-1	7179	40	0.0056
Rhodotorula_paludigenum_TFCN_48A-2	7424	28	0.0038
Rhodotorula_mucilaginosa_TFCN_209-6-2	7209	41	0.0057
Rhodotorula_mucilaginosa_IF8SW-P2	7266	41	0.0056
Rhodotorula_alborubescens_TFCN_17Y-278-1	12676	78	0.0062
Rhodotorula_mucilaginosa_DBVPG_4466	6706	41	0.0061
Rhodotorula_kratochvilovae_YM25235	8365	7	0.0008
Rhodotorula_mucilaginosa_DBVPG_3776	7482	39	0.0052
Rhodotorula_diobovata_TFCN_211A-3	6665	42	0.0063
Rhodotorula_mucilaginosa_DBVPG_3854	14413	73	0.0051
Rhodotorula_mucilaginosa_TFCN_107C-3	6573	44	0.0067
Rhodotorula_mucilaginosa_TFCN_25-333P-2	6784	43	0.0063
Rhodotorula_mucilaginosa_TFCN_33A-4	5493	17	0.0031
Rhodotorula_mucilaginosa_TFCN_98C-3	6580	42	0.0064
Rhodotorula_mucilaginosa_DBVPG_4380	12958	18	0.0014
Rhodotorula_mucilaginosa_TFCN_25-332P-2	6668	38	0.0057
Rhodotorula_mucilaginosa_DBVPG_3381	7258	41	0.0056
Rhodotorula_paludigena_TFCN_342-2	7530	34	0.0045
Rhodotorula_mucilaginosa_NRRL_Y-2510	6799	43	0.0063
Rhodotorula_mucilaginosa_IF4SW-F2	7325	41	0.0056
Rhodotorula_mucilaginosa_F8_4S_5B	7250	42	0.0058
Rhodotorula_mucilaginosa_TFCN_270H-2	6812	43	0.0063
Rhodotorula_mucilaginosa_DBVPG_4201	7482	42	0.0056
Rhodotorula_mucilaginosa_F8_3S_1P	7267	43	0.0059
Rhodotorula_mucilaginosa_TFCN_100D-1	6678	42	0.0063
Rhodotorula_sphaerocarpa_TFCN_86A-3	6730	41	0.0061
Rhodotorula_mucilaginosa_TFCN_209-6-5	7360	42	0.0057
Rhodotorula_mucilaginosa_DBVPG_4376	7350	41	0.0056
Rhodotorula_mucilaginosa_DBVPG_4408	6687	41	0.0061
Rhodotorula_mucilaginosa_VS_AB_II_KN_2	4894	11	0.0022
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-9	6720	38	0.0057
Rhodotorula_glutinis_DBVPG_3769	2121	1	0.0005
Rhodotorula_mucilaginosa_F6_7S_B_2A	7454	41	0.0055
Rhodotorula_alborubescens_TFCN_17-267M-1	12836	81	0.0063
Rhodotorula_mucilaginosa_F6_1S_P_1A	7208	39	0.0054
Rhodotorula_dairenensis_TFCN_7W-292-3	6522	44	0.0067
Rhodotorula_mucilaginosa_TFCN_25-332M-1	7157	41	0.0057
Rhodotorula_mucilaginosa_TFCN_273H-1	7267	42	0.0058
Rhodotorula_paludigena_NRRL_Y-12923	7637	36	0.0047
Rhodotorula_mucilaginosa_IIF2XSW-B1	7337	42	0.0057
Rhodotorula_graminis_TFCN_25-0-2E333-7	6622	42	0.0063
Sporobolomyces_roseus_SR19	7904	13	0.0016
Rhodotorula_mucilaginosa_TFCN_98C-8	7246	41	0.0057
Rhodotorula_mucilaginosa_TFCN_122C-2	6732	39	0.0058
Rhodotorula_mucilaginosa_F8_6S_1B	7245	43	0.0059
Rhodotorula_paludigena_TFCN_48D-10	7536	28	0.0037
Rhodotorula_mucilaginosa_F8_5S_2B	7281	42	0.0058
Rhodotorula_mucilaginosa_DBVPG_3382	7302	41	0.0056
Rhodotorula_toruloides_TFCN_152C-6	6921	38	0.0055
Rhodotorula_alborubescens_TFCN_17-390M-1	13387	85	0.0063
Rhodotorula_sp._DBVPG_10075	7574	31	0.0041
Rhodotorula_mucilaginosa_IF3SW-F2	7259	41	0.0056
Rhodotorula_graminis_TFCN_25-335P-1	8024	45	0.0056
Rhodotorula_mucilaginosa_F6_6S_B_1A	7285	42	0.0058
Rhodotorula_mucilaginosa_TFCN_98D-9	6585	39	0.0059
Rhodotorula_toruloides_TFCN_152A-5	6755	41	0.0061
Rhodotorula_toruloides_TFCN_152A-4	7655	5	0.0007
Rhodotorula_mucilaginosa_F6_8S_P_5B	5002	18	0.0036
Rhodotorula_mucilaginosa_F6_6S_P_1B	7270	40	0.0055
Rhodotorula_mucilaginosa_TFCN_102C-1	6702	41	0.0061
Rhodotorula_mucilaginosa_TFCN_102D-1	6625	42	0.0063
Rhodotorula_babjevae_CBS_7808	7464	29	0.0039
Rhodotorula_alborubescens_TFCN_25-0-2E390-1	12908	84	0.0065
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-5	6549	41	0.0063
Rhodotorula_mucilaginosa_F8_3S_2P	7289	42	0.0058
Rhodotorula_mucilaginosa_TFCN_17-334Y-2	7257	41	0.0056
Rhodotorula_mucilaginosa_F6_4S_P_4B	7262	42	0.0058
Rhodotorula_dairenensis_DBVPG_3773	6623	39	0.0059
Rhodotorula_mucilaginosa_DBVPG_3444	14845	70	0.0047
Rhodotorula_diobovata_UCD-FST_08-225	7542	45	0.0060
Rhodotorula_mucilaginosa_IF7SW-B3	7357	41	0.0056
Rhodotorula_taiwanensis_TFCN_0520-4-2-2	6881	36	0.0052
Rhodotorula_mucilaginosa_TFCN_106A-1	6704	40	0.0060
Rhodotorula_mucilaginosa_IF8SG-B1	7358	41	0.0056
Rhodotorula_mucilaginosa_TFCN_17-332C-1	6609	41	0.0062
Rhodotorula_mucilaginosa_DBVPG_3442	7552	39	0.0052
Rhodotorula_taiwanensis_TFCN_357-1	6963	38	0.0055
Rhodotorula_mucilaginosa_F8_1S_2B	6947	42	0.0060
Rhodotorula_mucilaginosa_F6_4S_P_5A	7259	41	0.0056
Rhodotorula_mucilaginosa_IIF6SW-B2	7356	42	0.0057
Rhodotorula_graminis_TFCN_17-0-2E329-4	12770	9	0.0007
Rhodotorula_mucilaginosa_TFCN_138A-1	6816	40	0.0059
Rhodotorula_sphaerocarpa_TFCN_152A-12	6548	42	0.0064
Rhodotorula_sphaerocarpa_NRRL_Y-7192	6110	40	0.0065
Rhodotorula_mucilaginosa_DBVPG_3777	7478	42	0.0056
Rhodotorula_mucilaginosa_DBVPG_4378	7359	39	0.0053
Rhodotorula_toruloides_TFCN_152D-6	7708	5	0.0006
Rhodotorula_mucilaginosa_rhodo3571	7970	35	0.0044
Rhodotorula_mucilaginosa_TFCN_134A-3	6540	37	0.0057
Rhodotorula_sp._CCFEE_5036_gbk	6591	39	0.0059
Rhodotorula_mucilaginosa_F6_7S_P_7C	7463	40	0.0054
Rhodotorula_mucilaginosa_TFCN_25-334D-3	6645	37	0.0056
Rhodotorula_mucilaginosa_F8_1S_3B	7267	42	0.0058
Rhodotorula_mucilaginosa_DBVPG_4946	6935	39	0.0056
Rhodotorula_mucilaginosa_F8_3S_1B	7271	41	0.0056
Rhodotorula_mucilaginosa_F6_4S_B_2B	6206	28	0.0045
Rhodotorula_mucilaginosa_TFCN_25-332C-1	7143	41	0.0057
Rhodotorula_mucilaginosa_IF2SG-B1	7360	41	0.0056
Rhodotorula_sphaerocarpa_TFCN_213-6-4	6773	42	0.0062
Rhodotorula_toruloides_TFCN_152D-4	7762	5	0.0006
Rhodotorula_mucilaginosa_TFCN_209-6-4	7252	41	0.0057
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1	14500	83	0.0057
Rhodotorula_mucilaginosa_TFCN_98D-7	7245	41	0.0057
Rhodotorula_paludigena_TFCN_49A-1	7406	29	0.0039
Rhodotorula_mucilaginosa_TFCN_3M-1-1	14067	42	0.0030
Rhodotorula_mucilaginosa_IF4SW-B1	7286	41	0.0056
Rhodotorula_mucilaginosa_TFCN_17-0-2E334-10	7266	42	0.0058
Rhodotorula_graminis_TFCN_25-333Y-2	7673	21	0.0027
Rhodotorula_sphaerocarpa_TFCN_54D-1	13311	78	0.0059
Rhodotorula_graminis_TFCN_25-335Y-1	6682	41	0.0061
Rhodotorula_mucilaginosa_TFCN_17-334Y-5	14438	82	0.0057
Rhodotorula_dairenensis_DBVPG_3853	6162	35	0.0057
Rhodotorula_mucilaginosa_IF6SW-B2	7365	41	0.0056
Rhodotorula_araucariae_NRRL_Y-17376	6936	16	0.0023
Rhodotorula_mucilaginosa_TFCN_25-332Y-1	6548	42	0.0064
Rhodotorula_mucilaginosa_IF1SW-B1	7355	42	0.0057
Rhodotorula_mucilaginosa_F6_7S_B_2C	7427	40	0.0054
Rhodotorula_mucilaginosa_DBVPG_4377	7519	39	0.0052
Rhodotorula_mucilaginosa_IIFCSW-F1	7237	41	0.0057
Rhodotorula_sphaerocarpa_TFCN_86C-9	6228	34	0.0055
Rhodotorula_mucilaginosa_F6_7S_P_7B	7465	40	0.0054
Rhodotorula_mucilaginosa_F6_4S_P_3B	7264	41	0.0056
Rhodotorula_mucilaginosa_TFCN_17-332C-2	6597	41	0.0062
Rhodotorula_mucilaginosa_TFCN_209-6-17	7265	39	0.0054
Rhodotorula_mucilaginosa_F8_5S_5P	6946	41	0.0059
Rhodotorula_mucilaginosa_IF3SG-B1	7314	41	0.0056
Rhodotorula_mucilaginosa_F8_5S_3B	7413	40	0.0054
Rhodotorula_mucilaginosa_TFCN_340-3	6680	44	0.0066
Rhodotorula_mucilaginosa_DBVPG_3857	14986	73	0.0049
Rhodotorula_mucilaginosa_TFCN_17-332P-1	7182	41	0.0057
Rhodotorula_mucilaginosa_TFCN_181A-1	7389	40	0.0054
Rhodotorula_mucilaginosa_IF6SW-F1	7345	41	0.0056
Rhodotorula_diobovata_NRRL_Y-7196	7242	44	0.0061
Rhodotorula_mucilaginosa_TFCN_107A-6	6832	41	0.0060
Rhodotorula_mucilaginosa_DBVPG_3984	7414	41	0.0055
Rhodotorula_mucilaginosa_IIF5SW-F2	7072	42	0.0059
Rhodotorula_diobovata_Y-7196	7426	44	0.0059
Rhodotorula_mucilaginosa_TFCN_98D-11	6912	42	0.0061
Rhodotorula_sphaerocarpa_TFCN_152A-2	6674	43	0.0064
Rhodotorula_sphaerocarpa_GDMCC_60679	6263	37	0.0059
Rhodotorula_mucilaginosa_TFCN_17-333D-2	6732	41	0.0061
Rhodotorula_sp._S30-09	6645	10	0.0015
Rhodotorula_mucilaginosa_DBVPG_4920	6779	39	0.0058
Rhodotorula_mucilaginosa_F6_4S_B_2C	7277	41	0.0056
Rhodotorula_mucilaginosa_F6_7S_B_2B	7461	41	0.0055
Rhodotorula_mucilaginosa_IF6SG-B1	7357	42	0.0057
Rhodotorula_mucilaginosa_F8_5S_4P	7252	41	0.0057
Rhodotorula_dairenensis_DBVPG_3770	6358	37	0.0058
Rhodotorula_mucilaginosa_TFCN_209-6-14	6709	42	0.0063
Rhodotorula_mucilaginosa_IFCSG-B1	7350	40	0.0054
Rhodotorula_mucilaginosa_TFCN_105A-2	6874	41	0.0060
Rhodotorula_mucilaginosa_TFCN_209-6-12	6746	41	0.0061
Rhodotorula_mucilaginosa_F6_6S_B_1B	7270	42	0.0058
Rhodotorula_evergladensis_DBVPG_7922	6623	19	0.0029
Rhodotorula_mucilaginosa_TFCN_340-1	7267	43	0.0059
Rhodotorula_mucilaginosa_TFCN_102D-2	6732	41	0.0061
Rhodotorula_mucilaginosa_TFCN_17-329Y-4	6925	39	0.0056
Rhodotorula_mucilaginosa_F6_4S_P_5B	7273	41	0.0056
Rhodotorula_mucilaginosa_TFCN_98C-5	7812	42	0.0054
Rhodotorula_mucilaginosa_IIF6SW-F1	7308	40	0.0055
Rhodotorula_mucilaginosa_IF5SW-F1	7263	41	0.0056
Rhodotorula_sp._M30-05A-2	6971	36	0.0052
Rhodotorula_sp._CCFEE_5036	6698	40	0.0060
Rhodotorula_mucilaginosa_F8_3S_3P	7356	41	0.0056
Rhodotorula_mucilaginosa_IF1SG-B1	7348	42	0.0057
Rhodotorula_mucilaginosa_F6_6S_P_2A	7230	42	0.0058
Rhodotorula_mucilaginosa_F6_7S_P_7A	7487	41	0.0055
Rhodotorula_paludigenum_TFCN_48C-3	7570	26	0.0034
Rhodotorula_mucilaginosa_F6_6S_B_1C	7155	40	0.0056
Rhodotorula_mucilaginosa_F8_4S_1P	7246	43	0.0059
Rhodotorula_paludigena_Y-12923	7487	35	0.0047
Rhodotorula_mucilaginosa_TFCN_25-337Y-1	6883	40	0.0058
Rhodotorula_mucilaginosa_TFCN_172A-1	6788	41	0.0060
Rhodotorula_mucilaginosa_F6_8S_P_5A	5232	14	0.0027
Rhodotorula_mucilaginosa_DBVPG_3858	7461	41	0.0055
Rhodotorula_mucilaginosa_TFCN_110C-1	7372	41	0.0056
Rhodotorula_mucilaginosa_F6_1S_P_1B	7263	41	0.0056
Sporobolomyces_roseus_Y8	8364	8	0.0010
Rhodotorula_alborubescens_TFCN_17-0-2E390-1	13268	86	0.0065
Rhodotorula_mucilaginosa_IF4SW-B2	7339	42	0.0057
Rhodotorula_mucilaginosa_TFCN_4M-1-4	6617	38	0.0057
Rhodotorula_mucilaginosa_F6_4S_P_4A	7270	41	0.0056
Rhodotorula_mucilaginosa_DBVPG_3384	7263	38	0.0052
Rhodotorula_paludigena_TFCN_342-3	6856	41	0.0060
Rhodotorula_mucilaginosa_F8_4S_2P	7220	42	0.0058
Rhodotorula_mucilaginosa_RIT389	14956	73	0.0049
