Species	TotalProteins	polyQ10_count	polyQ10_freq
Phlbr1	16170	5	0.0003
Pornie1	14467	12	0.0008
Conco1	10635	9	0.0008
Suidec1	16893	7	0.0004
Pseel1	11110	12	0.0011
Cirumb1	14692	207	0.0141
Pyrtt1	11799	36	0.0031
Sacce1	6573	50	0.0076
Nosap1	2764	0	0.0000
Podan3	10575	79	0.0075
Fusoxrap1	25666	24	0.0009
Stagr1	11832	32	0.0027
Phycit1	11368	69	0.0061
Lacth1	5092	34	0.0067
Rusvin1	12673	19	0.0015
Calmar1	9557	6	0.0006
Theter1	13338	9	0.0007
Ogapa1	5325	5	0.0009
Tescy1	7069	78	0.0110
Jimfl	13759	87	0.0063
Parsed1	10858	6	0.0006
Ophsi1	9961	42	0.0042
Elsamp1	10207	6	0.0006
Fibin1	8148	15	0.0018
Phcit1	11101	34	0.0031
Naose1	10410	2	0.0002
Calvi1	12378	19	0.0015
Morel2	14968	250	0.0167
Blugra3	6425	1	0.0002
Ramac1	19264	17	0.0009
Phapla1	15998	15	0.0009
Eurhe1	10076	29	0.0029
Yarli1	6446	59	0.0092
Disac1	10296	30	0.0029
Tilin1	9548	103	0.0108
Tolca1	7646	41	0.0054
SacceM3838	5991	51	0.0085
Fusco1	15730	16	0.0010
Pendi1	9118	4	0.0004
Purli1	11763	39	0.0033
Sodal1	9411	122	0.0130
Artbe1	7980	74	0.0093
SerlaS7	12789	8	0.0006
Petxy1	5982	90	0.0150
Polagg1	10687	56	0.0052
Rhidi1	23252	34	0.0015
Aspcand1	9641	27	0.0028
CocheC5	13336	53	0.0040
Phomu1	12099	21	0.0017
Phocon1	16587	37	0.0022
Myrian1	9767	24	0.0025
Pycpun1	10050	16	0.0016
Suiplo1	16401	11	0.0007
Schcy1	5180	3	0.0006
Aspfu1	9781	13	0.0013
Armost1	20811	15	0.0007
Blyhe1	12167	15	0.0012
Gymjun1	16444	9	0.0005
Lacda1	5096	27	0.0053
Rambr1	9275	558	0.0602
Aspni	13917	34	0.0024
Necsp1	8044	26	0.0032
Pieho1	7563	16	0.0021
Muclan1	10643	205	0.0193
Rhiir2	26183	32	0.0012
Zygro1	4991	50	0.0100
Bjead1	15473	13	0.0008
Mytre1	16793	10	0.0006
Ilysp1	22250	27	0.0012
Spalat1	12815	9	0.0007
CerAGI	18059	9	0.0005
Suitom1	17198	13	0.0008
Phaart1	14494	153	0.0106
Pucgr2	15979	88	0.0055
Eryha1	9521	17	0.0018
Tilcar1	10204	173	0.0170
Antav1	15755	16	0.0010
Chicu1	7187	3	0.0004
Tryvi1	11847	5	0.0004
Kalpfe1	15187	52	0.0034
Psiser1	15481	41	0.0026
Trisp1	7254	59	0.0081
Pheno1	9820	37	0.0038
Hydpi2	13270	9	0.0007
Sphbr2	12594	40	0.0032
Tripara1	10928	11	0.0010
Bifad1	5719	1	0.0002
Setho1	14389	0	0.0000
Fibra1	9262	9	0.0010
Umbsp	9368	19	0.0020
Parsa1	3750	0	0.0000
Valma1	11165	62	0.0056
Cunech1	10443	126	0.0121
Lacsan1	17481	18	0.0010
Thasp1	6857	44	0.0064
Rhoto	8490	11	0.0013
Schja1	4878	15	0.0031
Trilo3	10938	35	0.0032
Picst3	5807	26	0.0045
Glotr1	11846	11	0.0009
Metbr1	10689	24	0.0022
Aspni	12196	33	0.0027
