Protein	PolyQlength
Gaesem1|Gaesem1_58205	13
Gaesem1|Gaesem1_132643	10
Gaesem1|Gaesem1_300867	10
Gaesem1|Gaesem1_383843	16
Gaesem1|Gaesem1_410464	10
Gaesem1|Gaesem1_414613	12
Gaesem1|Gaesem1_428261	14
Gaesem1|Gaesem1_473941	10
Gaesem1|Gaesem1_542223	10
Gaesem1|Gaesem1_549588	14
Gaesem1|Gaesem1_557066	26
Gaesem1|Gaesem1_560493	13
Gaesem1|Gaesem1_560995	10
Gaesem1|Gaesem1_588279	12
Gaesem1|Gaesem1_594480	24
Gaesem1|Gaesem1_594573	13
Gaesem1|Gaesem1_595147	12
Gaesem1|Gaesem1_595472	11
Gaesem1|Gaesem1_595645	10
Gaesem1|Gaesem1_595846	35
Gaesem1|Gaesem1_601540	10
Gaesem1|Gaesem1_618395	12
Gaesem1|Gaesem1_618479	10
