Protein	PolyQlength
Botmuc1|Botmuc1_13014	33
Botmuc1|Botmuc1_63100	16
Botmuc1|Botmuc1_169889	20
Botmuc1|Botmuc1_266618	23
Botmuc1|Botmuc1_273684	12
Botmuc1|Botmuc1_331319	12
Botmuc1|Botmuc1_334183	16
Botmuc1|Botmuc1_335045	10
Botmuc1|Botmuc1_337105	10
Botmuc1|Botmuc1_351808	15
Botmuc1|Botmuc1_356345	15
Botmuc1|Botmuc1_363166	39
Botmuc1|Botmuc1_366819	10
Botmuc1|Botmuc1_366979	10
Botmuc1|Botmuc1_370172	10
Botmuc1|Botmuc1_370912	21
Botmuc1|Botmuc1_371084	20
Botmuc1|Botmuc1_373688	12
Botmuc1|Botmuc1_376395	21
Botmuc1|Botmuc1_380495	12
Botmuc1|Botmuc1_381408	13
Botmuc1|Botmuc1_382464	10
Botmuc1|Botmuc1_384055	16
Botmuc1|Botmuc1_385038	10
Botmuc1|Botmuc1_388122	12
Botmuc1|Botmuc1_392184	46
Botmuc1|Botmuc1_392233	11
Botmuc1|Botmuc1_392747	15
Botmuc1|Botmuc1_414021	13
Botmuc1|Botmuc1_416226	33
